"Subnational electricity consumption, Great Britain, 2016",,,,,,,,,,,,,,,,,,,,,,,
"This table shows the electricity consumption and the number of electric meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,,,,,,,,
Code,Country or region,Local authority,"Number of meters
(thousands):
Domestic Standard","Number of meters
(thousands):
Domestic E7 
","Number of meters
(thousands):
All Domestic
","Number of meters
(thousands):
All Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic Standard","Total consumption
(GWh):
Domestic E7","Total consumption
(GWh):
All Domestic
","Total consumption
(GWh):
All Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic Standard","Mean consumption
(kWh per meter):
Domestic E7","Mean consumption
(kWh per meter):
All Domestic
","Mean consumption
(kWh per meter):
All Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic Standard","Median consumption
(kWh per meter):
Domestic E7","Median consumption
(kWh per meter):
All Domestic
","Median consumption
(kWh per meter):
All Non-Domestic","Median consumption
(kWh per meter):
All meters","Mean domestic
consumption
(kWh per household)"
E07000126,North West,South Ribble,46.1,2.7,48.8,3.5,52.2,162.3,15.9,178.2,285.5,463.7,"3,521.5","5,952.8","3,654.9","82,444.1","8,878.8","3,057.7","4,753.5","3,107.2","9,650.1","3,182.4","3,789.6"
E07000127,North West,West Lancashire,44.5,3.7,48.2,3.9,52.1,170.9,21.4,192.3,324.5,516.8,"3,839.3","5,757.1","3,987.2","83,501.2","9,916.6","3,262.3","4,296.7","3,302.0","9,576.1","3,383.8","4,160.2"
E07000128,North West,Wyre,45.4,4.8,50.2,4.4,54.6,162.7,28.4,191.1,288.3,479.4,"3,582.8","5,951.9","3,807.9","66,127.1","8,788.8","3,023.7","4,793.6","3,103.7","7,554.8","3,187.9","3,945.8"
E08000001,North West,Bolton,114.0,9.9,123.9,8.2,132.1,387.0,52.3,439.4,522.8,962.1,"3,394.8","5,292.5","3,546.2","63,373.1","7,280.9","2,925.4","4,187.7","2,983.1","8,539.1","3,046.7","3,707.8"
E08000002,North West,Bury,77.3,6.1,83.4,5.5,88.9,268.9,31.7,300.6,335.7,636.3,"3,477.5","5,211.1","3,603.9","61,414.9","7,159.1","2,970.8","4,137.6","3,018.7","9,396.0","3,092.6","3,773.7"
E08000003,North West,Manchester,197.9,24.1,221.9,18.9,240.9,660.1,137.3,797.3,"1,825.5","2,622.8","3,335.8","5,703.6","3,592.5","96,359.4","10,888.5","2,781.2","5,017.4","2,918.3","10,605.3","3,021.4","3,725.8"
E08000004,North West,Oldham,91.5,4.3,95.8,6.4,102.1,301.5,22.4,323.9,425.1,749.0,"3,296.1","5,196.6","3,381.5","66,761.6","7,332.8","2,870.3","3,981.4","2,895.8","8,640.9","2,957.1","3,530.6"
E08000005,North West,Rochdale,87.8,5.2,92.9,6.3,99.2,295.5,27.4,322.9,476.0,798.9,"3,366.6","5,313.4","3,474.8","75,934.3","8,053.5","2,918.2","4,219.6","2,958.0","9,395.0","3,028.8","3,606.5"
E08000006,North West,Salford,103.1,12.1,115.2,8.0,123.2,351.5,65.4,416.9,600.5,"1,017.4","3,410.1","5,400.3","3,619.3","74,618.6","8,256.3","2,900.2","4,604.4","2,996.6","9,367.7","3,069.5","3,804.9"
E08000007,North West,Stockport,117.3,10.9,128.2,9.0,137.2,419.3,58.4,477.7,536.7,"1,014.4","3,573.7","5,348.9","3,724.9","59,667.7","7,391.0","3,089.6","4,421.4","3,158.0","9,449.4","3,231.4","3,840.9"
