"Subnational gas consumption, Great Britain, 2019",,,,,,,,,,,,,,,,
"This table shows the gas consumption and the number of gas meters by local authority. Country/region totals are shown where the local authority is specified as ""All local authorities"". ",,,,,,,,,,,,,,,,
"Some consumption within given countries/regions could not be allocated to specific local authorities. This consumption is shown in the rows where ""Unallocated"" is specified in the local authority column.",,,,,,,,,,,,,,,,
"Cells in the ""Notes"" columns have been left blank where there is no note for the given row.",,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].",,,,,,,,,,,,,,,,
Code,Country or region,Local authority,Notes,"Number of meters
(thousands):
Domestic
","Number of meters
(thousands):
Non-Domestic","Number of meters
(thousands):
All meters","Total consumption
(GWh):
Domestic
","Total consumption
(GWh):
Non-Domestic","Total consumption
(GWh):
All meters","Mean consumption
(kWh per meter):
Domestic
","Mean consumption
(kWh per meter):
Non-Domestic","Mean consumption
(kWh per meter):
All meters","Median consumption
(kWh per meter):
Domestic
","Median consumption
(kWh per meter):
Non-Domestic","Median consumption
(kWh per meter):
All meters","Number of 
non-consuming meters 
(thousands)"
E08000002,North West,Bury,,79.3,0.8,80.0,"1,127.7",391.1,"1,518.7","14,225.8","521,452.4","18,980.0","12,717.9","144,145.1","12,804.1",0.7
E08000003,North West,Manchester,,183.1,2.6,185.6,"2,255.0","1,536.3","3,791.3","12,318.9","599,869.3","20,425.6","10,866.8","175,651.0","10,973.6",2.9
E08000004,North West,Oldham,,91.5,1.0,92.5,"1,257.6",441.5,"1,699.1","13,739.2","457,031.9","18,368.7","12,397.6","158,835.8","12,483.8",1.1
E08000005,North West,Rochdale,,89.9,0.9,90.9,"1,190.9",441.5,"1,632.4","13,244.2","472,683.2","17,967.4","11,872.7","158,961.3","11,957.9",1.0
E08000006,North West,Salford,,97.2,1.1,98.3,"1,230.2",683.0,"1,913.2","12,653.4","610,379.7","19,454.7","11,194.9","156,862.7","11,288.0",1.3
E08000007,North West,Stockport,,120.4,1.2,121.6,"1,814.7",635.1,"2,449.8","15,073.5","521,451.9","20,145.4","13,486.8","143,652.5","13,574.9",1.1
E08000008,North West,Tameside,,98.0,0.8,98.8,"1,255.2",443.5,"1,698.7","12,807.8","544,182.5","17,190.5","11,669.0","154,786.3","11,729.2",1.1
E08000009,North West,Trafford,[note 1],91.7,1.3,93.0,"1,421.0","1,598.4","3,019.5","15,504.8","1,206,351.1","32,475.3","13,833.5","127,062.7","13,960.8",0.8
E08000010,North West,Wigan,,140.6,1.0,141.6,"1,722.8",702.5,"2,425.3","12,252.5","734,858.9","17,132.4","11,343.8","145,913.2","11,391.8",1.4
E08000011,North West,Knowsley,,66.0,0.4,66.5,763.8,496.5,"1,260.3","11,567.9","1,131,049.1","18,962.3","10,768.9","180,978.4","10,811.9",0.6
E08000012,North West,Liverpool,,197.6,2.1,199.7,"2,391.3","1,664.4","4,055.7","12,100.7","784,351.9","20,305.0","10,811.9","167,271.1","10,900.1",3.5
E08000013,North West,St. Helens,[note 1],81.2,0.6,81.8,999.5,"1,181.9","2,181.4","12,311.2","1,986,398.6","26,673.4","11,316.4","162,593.1","11,376.1",0.8
E08000014,North West,Sefton,,119.0,1.1,120.1,"1,630.3","1,207.6","2,837.9","13,702.7","1,062,088.6","23,626.6","12,248.8","139,786.3","12,330.1",1.4
E08000015,North West,Wirral,,140.6,1.2,141.7,"1,887.8",874.1,"2,761.9","13,429.1","752,232.5","19,486.1","11,947.1","141,294.1","12,018.6",1.7
E06000010,Yorkshire and The Humber,"Kingston upon Hull, City of",,114.0,1.2,115.1,"1,344.3",925.4,"2,269.7","11,797.3","790,897.8","19,715.3","10,682.1","161,650.9","10,753.9",1.3
E06000011,Yorkshire and The Humber,East Riding of Yorkshire,[note 1],134.1,1.2,135.3,"1,893.7","1,384.8","3,278.6","14,118.9","1,182,612.5","24,232.2","12,690.0","142,257.6","12,765.7",1.3
E06000012,Yorkshire and The Humber,North East Lincolnshire,[note 1],69.8,0.6,70.4,881.8,"1,199.1","2,080.9","12,630.9","2,018,625.7","29,554.0","11,679.4","173,894.7","11,748.0",0.7
E06000013,Yorkshire and The Humber,North Lincolnshire,[note 1],67.6,0.6,68.2,917.9,842.4,"1,760.4","13,569.6","1,449,990.0","25,801.7","12,399.0","151,576.8","12,461.8",0.6
E06000014,Yorkshire and The Humber,York,,79.8,1.1,80.9,"1,110.0",559.3,"1,669.3","13,906.8","529,151.6","20,640.8","12,537.4","149,192.7","12,647.6",0.5
E07000163,Yorkshire and The Humber,Craven,,21.5,0.3,21.7,319.4,117.6,437.0,"14,889.5","430,701.7","20,114.4","13,154.5","140,133.7","13,273.6",0.2
E07000164,Yorkshire and The Humber,Hambleton,,26.3,0.3,26.6,364.7,352.2,717.0,"13,856.9","1,257,989.7","26,953.0","12,339.4","147,330.0","12,417.3",0.2
E07000165,Yorkshire and The Humber,Harrogate,,59.4,0.9,60.3,943.1,411.3,"1,354.5","15,876.5","479,416.2","22,476.3","13,647.6","123,833.8","13,786.4",0.6
E07000166,Yorkshire and The Humber,Richmondshire,,13.0,0.2,13.2,185.7,137.9,323.6,"14,307.9","629,741.4","24,521.6","12,838.8","170,538.1","12,964.4",0.1
E07000167,Yorkshire and The Humber,Ryedale,,14.5,0.2,14.7,197.8,273.1,470.9,"13,613.3","1,578,869.1","32,030.6","11,836.6","125,473.0","11,937.0",0.1
E07000168,Yorkshire and The Humber,Scarborough,,48.5,0.5,49.0,637.0,386.6,"1,023.5","13,139.3","728,032.5","20,885.2","11,644.7","137,310.7","11,750.0",0.6
E07000169,Yorkshire and The Humber,Selby,,30.4,0.2,30.6,406.0,952.5,"1,358.5","13,345.4","4,369,359.3","44,338.9","12,016.7","134,221.7","12,073.8",0.2
E08000016,Yorkshire and The Humber,Barnsley,,106.5,0.8,107.3,"1,406.4","1,045.0","2,451.4","13,201.7","1,364,211.5","22,846.4","12,229.4","158,962.1","12,282.4",0.9
